User Role,originatorName,USER ID/EUI64,DUIS Version,Environment
OU,70-B3-D5-1F-31-AA-04-08_OU_DUIS3.0,70-B3-D5-1F-31-AA-04-08,3.0,UIT-B
IS1,70-B3-D5-1F-31-AA-04-09_IS1_DUIS3.1,70-B3-D5-1F-31-AA-04-09,3.1,UIT-B
IS2,70-B3-D5-1F-31-AA-04-10_IS2_DUIS3.1,70-B3-D5-1F-31-AA-04-10,3.1,UIT-B
ES,70-B3-D5-1F-31-AA-04-11_ES_DUIS3.1,70-B3-D5-1F-31-AA-04-11,3.1,UIT-B
GS1,70-B3-D5-1F-31-AA-04-12_GS1_DUIS3.1,70-B3-D5-1F-31-AA-04-12,3.1,UIT-B
GS2,70-B3-D5-1F-31-AA-04-13_GS2_DUIS3.1,70-B3-D5-1F-31-AA-04-13,3.1,UIT-B
ED,70-B3-D5-1F-31-AA-04-14_ED_DUIS3.1,70-B3-D5-1F-31-AA-04-14,3.1,UIT-B
GT,70-B3-D5-1F-31-AA-04-15_GT_DUIS3.1,70-B3-D5-1F-31-AA-04-15,3.1,UIT-B
RSA,70-B3-D5-1F-31-AA-04-16_RSA_DUIS3.1,70-B3-D5-1F-31-AA-04-16,3.1,UIT-B
OU,70-B3-D5-1F-31-AA-04-17_OU_DUIS3.1,70-B3-D5-1F-31-AA-04-17,3.1,UIT-B
IS1,70-B3-D5-1F-31-AA-04-18_IS1_DUIS4.0,70-B3-D5-1F-31-AA-04-18,4.0,UIT-B
IS2,70-B3-D5-1F-31-AA-04-19_IS2_DUIS4.0,70-B3-D5-1F-31-AA-04-19,4.0,UIT-B
ES,70-B3-D5-1F-31-AA-04-20_ES_DUIS4.0,70-B3-D5-1F-31-AA-04-20,4.0,UIT-B
GS1,70-B3-D5-1F-31-AA-04-21_GS1_DUIS4.0,70-B3-D5-1F-31-AA-04-21,4.0,UIT-B
GS2,70-B3-D5-1F-31-AA-04-22_GS2_DUIS4.0,70-B3-D5-1F-31-AA-04-22,4.0,UIT-B
ED,70-B3-D5-1F-31-AA-04-23_ED_DUIS4.0,70-B3-D5-1F-31-AA-04-23,4.0,UIT-B
GT,70-B3-D5-1F-31-AA-04-24_GT_DUIS4.0,70-B3-D5-1F-31-AA-04-24,4.0,UIT-B
RSA,70-B3-D5-1F-31-AA-04-25_RSA_DUIS4.0,70-B3-D5-1F-31-AA-04-25,4.0,UIT-B
OU,70-B3-D5-1F-31-AA-04-26_OU_DUIS4.0,70-B3-D5-1F-31-AA-04-26,4.0,UIT-B
